iProfile,x,y,Biome,NPP,fBNPP,ANPP,SOC20,SOC40,SOC60,SOC80,SOC100,SOC150,SOC200,BNPP0.5.cm,BNPP5.10.cm,BNPP10.15.cm,BNPP15.20.cm,BNPP20.25.cm,BNPP25.30.cm,BNPP30.35.cm,BNPP35.40.cm,BNPP40.45.cm,BNPP45.50.cm,BNPP50.55.cm,BNPP55.60.cm,BNPP60.65.cm,BNPP65.70.cm,BNPP70.75.cm,BNPP75.80.cm,BNPP80.85.cm,BNPP85.90.cm,BNPP90.95.cm,BNPP95.100.cm,BNPP100.105.cm,BNPP105.110.cm,BNPP110.115.cm,BNPP115.120.cm,BNPP120.125.cm,BNPP125.130.cm,BNPP130.135.cm,BNPP135.140.cm,BNPP140.145.cm,BNPP145.150.cm,BNPP150.155.cm,BNPP155.160.cm,BNPP160.165.cm,BNPP165.170.cm,BNPP170.175.cm,BNPP175.180.cm,BNPP180.185.cm,BNPP185.190.cm,BNPP190.195.cm,BNPP195.200.cm
64,159.470832,-8.142683542,1,1272.3,0.254827747,948.0826575,3327.2368,1791.7656,1127.14,931.0444,838.9584,1826.591,1492.831,50,50,47.14876858,38.03128033,27.10577029,17.89298437,11.02861366,6.512658167,4.007329449,2.499262181,1.80420812,1.922167268,2.60235285,3.09240455,3.255529582,3.091727946,2.704097711,2.401933082,2.24146937,2.222706574,2.306678344,2.376485627,2.410874049,2.40984361,2.373394311,2.301526152,2.194239131,2.051533251,1.873408509,1.659864907,1.424093847,1.205669534,1.011787279,0.842447081,0.697648941,0.577392859,0.481678834,0.410506867,0.363876957,0.342525367
65,11.7041659,7.648983062,2,599.1,0.357312241,385.0342364,3795.2208,1465.2288,1102.08,875.6288,790.3324,1563.66,1140,31.86016821,29.55786987,25.16257302,18.67427768,11.12411996,5.605508216,2.680880334,2.350236313,3.870801951,5.014254641,5.375444818,4.954372482,3.989739492,3.197651426,2.708309297,2.521713106,2.548010996,2.517647401,2.381612216,2.139905442,1.826322461,1.542249415,1.30612015,1.117934664,0.977692958,0.885395033,0.841040887,0.844630521,0.896163936,0.99564113,1.129376688,1.256314359,1.36898937,1.467401721,1.551551413,1.621438446,1.677062818,1.718424531,1.745523584,1.757932098
66,129.4541654,41.07398293,9,477,0.396635475,287.8048784,5634.876,1909.92,872.176,593.8272,592.5312,1245.744,744.192,33.42076536,30.96009618,26.26245504,19.32784192,11.23805134,5.238466857,1.919158212,1.280125404,2.580390241,3.597018153,3.925839218,3.566853435,2.710419237,1.92761192,1.322263356,0.894373545,0.63035427,0.489440878,0.464221614,0.554696479,0.72930236,0.893349919,1.029622913,1.138121342,1.218845206,1.271794504,1.296969238,1.294369407,1.26399501,1.205846048,1.12786214,1.053862137,0.988176742,0.930805953,0.881749772,0.841008198,0.80858123,0.78446887,0.768671117,0.761437408
67,-73.92083376,-11.85935019,1,2483,0.295929203,1748.207789,5469.478,2364.1056,1432.368,1014.8736,748.8432,1569.672,1447.6,49.90886809,48.77028542,46.45824356,43.04522939,38.7204903,34.05176852,29.14228988,23.9920544,18.89191002,14.71440054,11.6181703,9.603219307,8.397062879,7.182247009,5.810143696,4.280752939,2.770115525,1.806353813,1.48549005,1.807524235,2.602085079,3.358058705,3.982515319,4.475454921,4.83687751,5.066783086,5.16517165,5.132043201,4.96739774,4.671235267,4.281609135,3.912679406,3.585202456,3.299178285,3.054606892,2.851488277,2.689822441,2.569609384,2.490849105,2.454785187
68,30.37083249,3.415649745,2,896.1,0.287354012,638.6020698,4854.72,2537.108,1652.43,1291.791,1080.1728,2340.5625,1912.266,34.1487982,32.67611403,29.86462607,25.71433432,20.64336876,15.90611933,11.73065693,8.116981558,5.163789262,3.167168169,2.180952483,2.205142205,2.94454368,3.513575948,3.751224288,3.6574887,3.306378309,2.919920492,2.538483863,2.162068422,1.803836624,1.503275834,1.267565572,1.096705838,0.990696633,0.949537956,0.973229808,1.061772189,1.215165098,1.433408535,1.696149988,1.942331921,2.160852962,2.351713112,2.514912371,2.650450738,2.758328214,2.838544799,2.891100493,2.915165468
69,71.59583233,52.26564955,9,236.9,0.692295914,72.89509797,5903.3316,3385.944,2080.4472,1459.3488,961.6878,1805.8425,1422.414,28.07057172,26.01169165,22.08110242,16.27880402,9.517847541,4.537386185,1.835447811,1.41203242,2.624411203,3.544397732,3.821412658,3.455455982,2.625969059,1.871275964,1.2892538,0.879902566,0.62694108,0.481525788,0.434776045,0.48669185,0.611166367,0.729879088,0.828589918,0.907298858,0.966005908,1.004711068,1.023414338,1.022115718,1.000815208,0.959512808,0.903913624,0.851132975,0.804282735,0.763362905,0.728373486,0.699314476,0.676185877,0.658987688,0.647719909,0.642560452
70,23.32916585,62.21564951,6,512,0.318296776,349.0320507,24178.76,27439.8996,26281.3472,29368.148,33747.6248,84391.875,67443.222,26.16479725,24.17456171,20.37502112,14.7661755,8.235836602,3.447439739,0.885245876,0.549255012,1.828881546,2.892368671,3.406669695,3.371784619,2.916585105,2.42768614,1.975381357,1.559670757,1.211723652,1.025047982,1.016645189,1.186515274,1.485828601,1.768096264,2.006683918,2.201591561,2.352819194,2.460366818,2.524234431,2.544422035,2.520929628,2.453757211,2.354857044,2.260085906,2.175963209,2.102488956,2.039663144,1.987485776,1.94595685,1.915076366,1.894844326,1.885580181
71,122.3124988,45.69898291,9,220.2,0.62185833,83.26679573,3330.882,1918.3008,1433.1548,1077.808,877.548,1561.2375,1150.254,21.85463997,20.59169568,18.18062021,14.62141358,10.37763217,6.839945249,4.261201751,2.64140168,1.831384958,1.383671346,1.216900801,1.331073323,1.62891561,1.818607756,1.847091598,1.714367134,1.477091547,1.305236378,1.229705546,1.250499049,1.340399414,1.417754213,1.467717553,1.490289431,1.485469849,1.453258807,1.393656304,1.306662341,1.192276917,1.050500033,0.891019252,0.742897265,0.611418198,0.496582051,0.398388823,0.316838516,0.251931128,0.203666661,0.172045113,0.157565773
72,19.0874992,47.88231623,9,663.6,0.449767609,365.1342147,6738.39,2296.974,1319.1024,1046.3856,763.02,1624.896,1301.1375,49.31259335,45.71387827,38.84360401,28.70177059,16.89669865,8.253350102,3.648990762,3.083620629,5.391942953,7.07806749,7.506377832,6.676873979,4.974650805,3.554992934,2.627952116,2.193528349,2.127834756,2.059210697,1.920081511,1.710447199,1.454703359,1.226036795,1.037754195,0.889855562,0.782340893,0.715210191,0.688463454,0.702100682,0.756121876,0.850527035,0.973555172,1.08992332,1.193216396,1.283434398,1.360577328,1.424645185,1.475637969,1.51355568,1.538398319,1.549773632
73,-104.104167,29.13231631,1,189.7,0.430722466,107.9919482,1595.025,1122.1408,897.9936,770.868,661.5,1425.6,1029.6,9.1047498,8.811737977,8.252351771,7.426591181,6.388008791,5.297262348,4.183562353,3.046908806,1.97745296,1.245648573,0.900669054,0.942514404,1.254607768,1.487218579,1.57675946,1.523230412,1.36008111,1.187660577,1.024214089,0.869741648,0.726867297,0.603463167,0.500960557,0.419359465,0.358659893,0.318861839,0.299965304,0.301970287,0.32487679,0.368684811,0.427418391,0.483149646,0.532618963,0.575826341,0.61277178,0.643455281,0.667876842,0.686036465,0.697934148,0.703382035
74,65.65416568,36.09898295,8,149.1,0.468252907,79.28349157,1580.436,1062.444,848.1018,749.2296,650.1222,1389.825,987.525,9.559626385,8.894200654,7.62384244,5.748551744,3.566324032,1.971145712,1.125559766,1.029566194,1.468434876,1.797975452,1.901062401,1.777695724,1.494497836,1.251335981,1.084549657,0.994138866,0.957748747,0.908314723,0.833643234,0.733734281,0.617576629,0.512136579,0.422317096,0.348118179,0.289539827,0.246582042,0.219244823,0.20752817,0.211432083,0.230956562,0.261926257,0.291815116,0.318345677,0.341517939,0.361331902,0.377787566,0.390884932,0.400623999,0.407004766,0.409926486
75,40.60416578,65.02398283,6,304,0.325625992,205.0096984,12568.2816,20257.572,11848.7952,10973.9624,15215.3694,26587.932,24228.828,16.1865742,14.98957517,12.70439521,9.33103432,5.397907122,2.490257503,0.896311623,0.616069484,1.299784357,1.898216058,2.220593643,2.266917114,2.085755294,1.822814659,1.504587295,1.131073202,0.743680191,0.466631696,0.322513794,0.311326487,0.401034237,0.495530436,0.577341153,0.646466389,0.702906145,0.746660419,0.777729213,0.796112525,0.801810357,0.794822708,0.778345284,0.761965206,0.747425586,0.734726424,0.723867721,0.714849476,0.707671689,0.70233436,0.698837489,0.697236291
